,genres,n_genres,loss,accuracy
7136,"hiphop, pop, rock, edm_dance, indie_alt, soul, kpop",3,1.4344947458493829,0.4732673168182373
7137,"hiphop, pop, rock, edm_dance, indie_alt, soul, reggae",3,1.3720608439827562,0.4734651446342468
7138,"hiphop, pop, rock, edm_dance, indie_alt, soul, blues",3,1.3411023140468556,0.4881209433078766
7139,"hiphop, pop, rock, edm_dance, indie_alt, kpop, reggae",3,1.7422060503496661,0.3343343436717987
7140,"hiphop, pop, rock, edm_dance, indie_alt, kpop, blues",3,1.3697341532133427,0.4834024906158447
7141,"hiphop, pop, rock, edm_dance, indie_alt, reggae, blues",3,1.2203673543825826,0.5005464553833008
7142,"hiphop, pop, rock, edm_dance, classical, jazz, soul",3,1.0607921289759734,0.5777592062950134
7143,"hiphop, pop, rock, edm_dance, classical, jazz, kpop",3,0.9842247616143436,0.6207455396652222
7144,"hiphop, pop, rock, edm_dance, classical, jazz, reggae",3,1.0317843215878,0.5746835470199585
7145,"hiphop, pop, rock, edm_dance, classical, jazz, blues",3,0.9782695988139658,0.58746737241745
7146,"hiphop, pop, rock, edm_dance, classical, soul, kpop",3,1.0408448830629007,0.5863248109817505
7147,"hiphop, pop, rock, edm_dance, classical, soul, reggae",3,0.9874087208086487,0.6110615730285645
7148,"hiphop, pop, rock, edm_dance, classical, soul, blues",3,0.8856991279191075,0.6510128974914551
7149,"hiphop, pop, rock, edm_dance, classical, kpop, reggae",3,0.9896083557986308,0.6039689183235168
7150,"hiphop, pop, rock, edm_dance, classical, kpop, blues",3,0.8635444899895013,0.6939501762390137
7151,"hiphop, pop, rock, edm_dance, classical, reggae, blues",3,0.8616022786428762,0.6567441821098328
7152,"hiphop, pop, rock, edm_dance, jazz, soul, kpop",3,1.7221277515093485,0.3645833432674408
7153,"hiphop, pop, rock, edm_dance, jazz, soul, reggae",3,1.3788439373022638,0.5148189067840576
7154,"hiphop, pop, rock, edm_dance, jazz, soul, blues",3,1.3694128538375576,0.4714611768722534
7155,"hiphop, pop, rock, edm_dance, jazz, kpop, reggae",3,1.327736262526477,0.47629082202911377
7156,"hiphop, pop, rock, edm_dance, jazz, kpop, blues",3,1.1549910497352383,0.5371991395950317
7157,"hiphop, pop, rock, edm_dance, jazz, reggae, blues",3,1.0271329541426863,0.6300578117370605
7158,"hiphop, pop, rock, edm_dance, soul, kpop, reggae",3,1.6938991204879623,0.3668171465396881
7159,"hiphop, pop, rock, edm_dance, soul, kpop, blues",3,1.5870346349828384,0.3988235294818878
7160,"hiphop, pop, rock, edm_dance, soul, reggae, blues",3,1.2986542869001143,0.47191011905670166
7161,"hiphop, pop, rock, edm_dance, kpop, reggae, blues",3,1.3005720808906691,0.47914183139801025
7162,"hiphop, pop, rock, indie_alt, classical, jazz, soul",3,0.9379831041608538,0.6005830764770508
7163,"hiphop, pop, rock, indie_alt, classical, jazz, kpop",3,0.9816444667567689,0.5923148989677429
7164,"hiphop, pop, rock, indie_alt, classical, jazz, reggae",3,0.9784574628110485,0.5805500745773315
7165,"hiphop, pop, rock, indie_alt, classical, jazz, blues",3,0.9487577565090234,0.5926679968833923
7166,"hiphop, pop, rock, indie_alt, classical, soul, kpop",3,0.9467733466137918,0.6181455850601196
7167,"hiphop, pop, rock, indie_alt, classical, soul, reggae",3,0.9103811696890265,0.6415094137191772
7168,"hiphop, pop, rock, indie_alt, classical, soul, blues",3,0.8093081305413563,0.673558235168457
7169,"hiphop, pop, rock, indie_alt, classical, kpop, reggae",3,1.757901830057944,0.3084677457809448
7170,"hiphop, pop, rock, indie_alt, classical, kpop, blues",3,0.8848990674676567,0.6280041933059692
7171,"hiphop, pop, rock, indie_alt, classical, reggae, blues",3,0.7908459045813472,0.6618942618370056
7172,"hiphop, pop, rock, indie_alt, jazz, soul, kpop",3,1.2769638402164358,0.5107187628746033
7173,"hiphop, pop, rock, indie_alt, jazz, soul, reggae",3,1.7944413410720004,0.2540322542190552
7174,"hiphop, pop, rock, indie_alt, jazz, soul, blues",3,1.7194017484594972,0.2693935036659241
7175,"hiphop, pop, rock, indie_alt, jazz, kpop, reggae",3,1.5552745289204981,0.3849104940891266
7176,"hiphop, pop, rock, indie_alt, jazz, kpop, blues",3,1.7481627462698592,0.25836679339408875
7177,"hiphop, pop, rock, indie_alt, jazz, reggae, blues",3,1.7068459523099884,0.2779369652271271
7178,"hiphop, pop, rock, indie_alt, soul, kpop, reggae",3,1.2859479895221673,0.4853963851928711
7179,"hiphop, pop, rock, indie_alt, soul, kpop, blues",3,1.7034807158075,0.28696924448013306
7180,"hiphop, pop, rock, indie_alt, soul, reggae, blues",3,1.2215584132949637,0.45899054408073425
7181,"hiphop, pop, rock, indie_alt, kpop, reggae, blues",3,1.3144952768371219,0.443452388048172
7182,"hiphop, pop, rock, classical, jazz, soul, kpop",3,0.9571866145414171,0.6505771279335022
7183,"hiphop, pop, rock, classical, jazz, soul, reggae",3,0.8918328179722339,0.6714601516723633
7184,"hiphop, pop, rock, classical, jazz, soul, blues",3,0.7906312891748338,0.7134637236595154
7185,"hiphop, pop, rock, classical, jazz, kpop, reggae",3,0.8485186050651939,0.6868365406990051
7186,"hiphop, pop, rock, classical, jazz, kpop, blues",3,0.7680898958359165,0.7232635021209717
7187,"hiphop, pop, rock, classical, jazz, reggae, blues",3,0.7945080227229423,0.7191142439842224
7188,"hiphop, pop, rock, classical, soul, kpop, reggae",3,0.8028218918421706,0.700796365737915
7189,"hiphop, pop, rock, classical, soul, kpop, blues",3,0.8073358025627204,0.7437722682952881
7190,"hiphop, pop, rock, classical, soul, reggae, blues",3,0.7691900874265195,0.736775815486908
7191,"hiphop, pop, rock, classical, kpop, reggae, blues",3,0.762239573093561,0.7427884340286255
7192,"hiphop, pop, rock, jazz, soul, kpop, reggae",3,1.8017902844689886,0.3094170391559601
7193,"hiphop, pop, rock, jazz, soul, kpop, blues",3,1.2792931751805647,0.5687204003334045
7194,"hiphop, pop, rock, jazz, soul, reggae, blues",3,1.2238288121680692,0.5667808055877686
7195,"hiphop, pop, rock, jazz, kpop, reggae, blues",3,1.1756757056981422,0.5964630246162415
7196,"hiphop, pop, rock, soul, kpop, reggae, blues",3,1.2961751595805924,0.5509839057922363
7197,"hiphop, pop, edm_dance, indie_alt, classical, jazz, soul",3,1.0531410178230312,0.588336169719696
7198,"hiphop, pop, edm_dance, indie_alt, classical, jazz, kpop",3,1.7487672832717136,0.26328903436660767
7199,"hiphop, pop, edm_dance, indie_alt, classical, jazz, reggae",3,0.9293983614805973,0.6389610171318054
7200,"hiphop, pop, edm_dance, indie_alt, classical, jazz, blues",3,0.9212804232324873,0.6473214030265808
7201,"hiphop, pop, edm_dance, indie_alt, classical, soul, kpop",3,1.0075924409052242,0.5898334980010986
7202,"hiphop, pop, edm_dance, indie_alt, classical, soul, reggae",3,0.8196156505263332,0.6950549483299255
7203,"hiphop, pop, edm_dance, indie_alt, classical, soul, blues",3,0.9374144492727338,0.623106062412262
7204,"hiphop, pop, edm_dance, indie_alt, classical, kpop, reggae",3,0.8729944314576883,0.6681416034698486
7205,"hiphop, pop, edm_dance, indie_alt, classical, kpop, blues",3,0.7439702520422787,0.7202925086021423
7206,"hiphop, pop, edm_dance, indie_alt, classical, reggae, blues",3,0.7780769353848325,0.7196172475814819
7207,"hiphop, pop, edm_dance, indie_alt, jazz, soul, kpop",3,1.2594156922126303,0.5112782120704651
7208,"hiphop, pop, edm_dance, indie_alt, jazz, soul, reggae",3,1.4768705070694559,0.481859415769577
7209,"hiphop, pop, edm_dance, indie_alt, jazz, soul, blues",3,1.2235670003766992,0.5520094633102417
7210,"hiphop, pop, edm_dance, indie_alt, jazz, kpop, reggae",3,1.2867901221565579,0.48695650696754456
7211,"hiphop, pop, edm_dance, indie_alt, jazz, kpop, blues",3,1.153851081343258,0.5678732991218567
7212,"hiphop, pop, edm_dance, indie_alt, jazz, reggae, blues",3,1.2100673968206623,0.5497006177902222
7213,"hiphop, pop, edm_dance, indie_alt, soul, kpop, reggae",3,1.4668914547590453,0.45093458890914917
7214,"hiphop, pop, edm_dance, indie_alt, soul, kpop, blues",3,1.454354483665996,0.42265528440475464
7215,"hiphop, pop, edm_dance, indie_alt, soul, reggae, blues",3,1.5774425694361869,0.42616578936576843
7216,"hiphop, pop, edm_dance, indie_alt, kpop, reggae, blues",3,1.5925921622617745,0.4148148000240326
7217,"hiphop, pop, edm_dance, classical, jazz, soul, kpop",3,0.9746682209011396,0.650779128074646
7218,"hiphop, pop, edm_dance, classical, jazz, soul, reggae",3,0.9302380002620353,0.6669865846633911
7219,"hiphop, pop, edm_dance, classical, jazz, soul, blues",3,1.5915182693815138,0.3041749596595764
7220,"hiphop, pop, edm_dance, classical, jazz, kpop, reggae",3,0.8479156882674606,0.6694444417953491
7221,"hiphop, pop, edm_dance, classical, jazz, kpop, blues",3,0.9324924329231525,0.6743295192718506
7222,"hiphop, pop, edm_dance, classical, jazz, reggae, blues",3,1.5705311879440769,0.31457287073135376
7223,"hiphop, pop, edm_dance, classical, soul, kpop, reggae",3,1.6332185259015541,0.3326771557331085
7224,"hiphop, pop, edm_dance, classical, soul, kpop, blues",3,0.7195917137658316,0.7441386580467224
